model_name,seed,size_hidden,act_name,weight_initializer,trainer,alpha
BBO-RVFL,10,47,silu,random_uniform,MPI,11.369663702020995
BBO-RVFL,15,47,silu,random_uniform,MPI,11.369663702020995
BBO-RVFL,21,47,silu,random_uniform,MPI,11.369663702020995
BBO-RVFL,24,47,silu,random_uniform,MPI,11.369663702020995
BBO-RVFL,27,47,silu,random_uniform,MPI,11.369663702020995
BBO-RVFL,29,47,silu,random_uniform,MPI,11.369663702020995
BBO-RVFL,30,47,silu,random_uniform,MPI,11.369663702020995
BBO-RVFL,35,47,silu,random_uniform,MPI,11.369663702020995
BBO-RVFL,40,47,silu,random_uniform,MPI,11.369663702020995
BBO-RVFL,42,47,silu,random_uniform,MPI,11.369663702020995
SADE-RVFL,10,100,tanh,random_normal,L2,5.444418960464493
SADE-RVFL,15,100,tanh,random_normal,L2,5.444418960464493
SADE-RVFL,21,100,tanh,random_normal,L2,5.444418960464493
SADE-RVFL,24,100,tanh,random_normal,L2,5.444418960464493
SADE-RVFL,27,100,tanh,random_normal,L2,5.444418960464493
SADE-RVFL,29,100,tanh,random_normal,L2,5.444418960464493
SADE-RVFL,30,100,tanh,random_normal,L2,5.444418960464493
SADE-RVFL,35,100,tanh,random_normal,L2,5.444418960464493
SADE-RVFL,40,100,tanh,random_normal,L2,5.444418960464493
SADE-RVFL,42,100,tanh,random_normal,L2,5.444418960464493
SHADE-RVFL,10,93,sigmoid,random_normal,L2,0.01
SHADE-RVFL,15,93,sigmoid,random_normal,L2,0.01
SHADE-RVFL,21,93,sigmoid,random_normal,L2,0.01
SHADE-RVFL,24,93,sigmoid,random_normal,L2,0.01
SHADE-RVFL,27,93,sigmoid,random_normal,L2,0.01
SHADE-RVFL,29,93,sigmoid,random_normal,L2,0.01
SHADE-RVFL,30,93,sigmoid,random_normal,L2,0.01
SHADE-RVFL,35,93,sigmoid,random_normal,L2,0.01
SHADE-RVFL,40,93,sigmoid,random_normal,L2,0.01
SHADE-RVFL,42,93,sigmoid,random_normal,L2,0.01
LCO-RVFL,10,81,sigmoid,random_normal,L2,0.01
LCO-RVFL,15,81,sigmoid,random_normal,L2,0.01
LCO-RVFL,21,81,sigmoid,random_normal,L2,0.01
LCO-RVFL,24,81,sigmoid,random_normal,L2,0.01
LCO-RVFL,27,81,sigmoid,random_normal,L2,0.01
LCO-RVFL,29,81,sigmoid,random_normal,L2,0.01
LCO-RVFL,30,81,sigmoid,random_normal,L2,0.01
LCO-RVFL,35,81,sigmoid,random_normal,L2,0.01
LCO-RVFL,40,81,sigmoid,random_normal,L2,0.01
LCO-RVFL,42,81,sigmoid,random_normal,L2,0.01
INFO-RVFL,10,84,tanh,random_normal,L2,23.404704345423017
INFO-RVFL,15,84,tanh,random_normal,L2,23.404704345423017
INFO-RVFL,21,84,tanh,random_normal,L2,23.404704345423017
INFO-RVFL,24,84,tanh,random_normal,L2,23.404704345423017
INFO-RVFL,27,84,tanh,random_normal,L2,23.404704345423017
INFO-RVFL,29,84,tanh,random_normal,L2,23.404704345423017
INFO-RVFL,30,84,tanh,random_normal,L2,23.404704345423017
INFO-RVFL,35,84,tanh,random_normal,L2,23.404704345423017
INFO-RVFL,40,84,tanh,random_normal,L2,23.404704345423017
INFO-RVFL,42,84,tanh,random_normal,L2,23.404704345423017
QLE-SCA-RVFL,10,88,sigmoid,random_uniform,MPI,38.18443495848917
QLE-SCA-RVFL,15,88,sigmoid,random_uniform,MPI,38.18443495848917
QLE-SCA-RVFL,21,88,sigmoid,random_uniform,MPI,38.18443495848917
QLE-SCA-RVFL,24,88,sigmoid,random_uniform,MPI,38.18443495848917
QLE-SCA-RVFL,27,88,sigmoid,random_uniform,MPI,38.18443495848917
QLE-SCA-RVFL,29,88,sigmoid,random_uniform,MPI,38.18443495848917
QLE-SCA-RVFL,30,88,sigmoid,random_uniform,MPI,38.18443495848917
QLE-SCA-RVFL,35,88,sigmoid,random_uniform,MPI,38.18443495848917
QLE-SCA-RVFL,40,88,sigmoid,random_uniform,MPI,38.18443495848917
QLE-SCA-RVFL,42,88,sigmoid,random_uniform,MPI,38.18443495848917
SHIO-RVFL,10,75,celu,glorot_normal,L2,0.4287762301276077
SHIO-RVFL,15,75,celu,glorot_normal,L2,0.4287762301276077
SHIO-RVFL,21,75,celu,glorot_normal,L2,0.4287762301276077
SHIO-RVFL,24,75,celu,glorot_normal,L2,0.4287762301276077
SHIO-RVFL,27,75,celu,glorot_normal,L2,0.4287762301276077
SHIO-RVFL,29,75,celu,glorot_normal,L2,0.4287762301276077
SHIO-RVFL,30,75,celu,glorot_normal,L2,0.4287762301276077
SHIO-RVFL,35,75,celu,glorot_normal,L2,0.4287762301276077
SHIO-RVFL,40,75,celu,glorot_normal,L2,0.4287762301276077
SHIO-RVFL,42,75,celu,glorot_normal,L2,0.4287762301276077
EFO-RVFL,10,58,silu,random_uniform,MPI,11.369663702020995
EFO-RVFL,15,58,silu,random_uniform,MPI,11.369663702020995
EFO-RVFL,21,58,silu,random_uniform,MPI,11.369663702020995
EFO-RVFL,24,58,silu,random_uniform,MPI,11.369663702020995
EFO-RVFL,27,58,silu,random_uniform,MPI,11.369663702020995
EFO-RVFL,29,58,silu,random_uniform,MPI,11.369663702020995
EFO-RVFL,30,58,silu,random_uniform,MPI,11.369663702020995
EFO-RVFL,35,58,silu,random_uniform,MPI,11.369663702020995
EFO-RVFL,40,58,silu,random_uniform,MPI,11.369663702020995
EFO-RVFL,42,58,silu,random_uniform,MPI,11.369663702020995
A-EO-RVFL,10,87,selu,glorot_normal,L2,0.0106448452443221
