,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
A-EO-RVFL,27.3,10.263744172788234,0.9649122807017545,0.0,0.9672569328433008,0.0,0.9580740255486406,0.0,0.9623015873015872,0.0,0.9580740255486406,0.0,0.9672569328433008,0.0
AIW-PSO-RVFL,27.3,10.263744172788234,0.9736842105263157,0.0,0.9742063492063492,0.0,0.9697019325253848,0.0,0.97186343068696,0.0,0.9697019325253848,0.0,0.9742063492063492,0.0
BBO-RVFL,27.3,10.263744172788234,0.9385964912280702,0.0,0.9365079365079364,0.0,0.9323616115296428,0.0,0.9343480049362404,0.0,0.9323616115296428,0.0,0.9365079365079364,0.0
CL-PSO-RVFL,27.3,10.263744172788234,0.9789473684210528,0.007397140725540091,0.9824924824590712,0.008029839698389546,0.9730101539469374,0.007872030860556746,0.9773809523809524,0.007947523219999898,0.9730101539469374,0.007872030860556746,0.9824924824590712,0.008029839698389546
EFO-RVFL,27.3,10.263744172788234,0.956140350877193,0.0,0.9553571428571427,0.0,0.951031772027514,0.0,0.9531057178116,0.0,0.951031772027514,0.0,0.9553571428571427,0.0
HHO-RVFL,27.3,10.263744172788234,0.9473684210526316,0.0,0.9538461538461538,0.0,0.9348182115951523,0.0,0.9428666889408619,0.0,0.9348182115951523,0.0,0.9538461538461538,0.0
IM-ARO-RVFL,27.3,10.263744172788234,0.9649122807017545,0.0,0.9672569328433008,0.0,0.9580740255486406,0.0,0.9623015873015872,0.0,0.9580740255486406,0.0,0.9672569328433008,0.0
INFO-RVFL,27.3,10.263744172788234,0.9736842105263157,0.0,0.9742063492063492,0.0,0.9697019325253848,0.0,0.97186343068696,0.0,0.9697019325253848,0.0,0.9742063492063492,0.0
LCO-RVFL,27.3,10.263744172788234,0.9473684210526316,0.0,0.9538461538461538,0.0,0.9348182115951523,0.0,0.9428666889408619,0.0,0.9348182115951523,0.0,0.9538461538461538,0.0
QLE-SCA-RVFL,27.3,10.263744172788234,0.956140350877193,0.0,0.9553571428571427,0.0,0.951031772027514,0.0,0.9531057178116,0.0,0.951031772027514,0.0,0.9553571428571427,0.0
RIME-RVFL,27.3,10.263744172788234,0.9385964912280702,0.0,0.9365079365079364,0.0,0.9323616115296428,0.0,0.9343480049362404,0.0,0.9323616115296428,0.0,0.9365079365079364,0.0
SADE-RVFL,27.3,10.263744172788234,0.9649122807017545,0.0,0.9672569328433008,0.0,0.9580740255486406,0.0,0.9623015873015872,0.0,0.9580740255486406,0.0,0.9672569328433008,0.0
SHADE-RVFL,27.3,10.263744172788234,0.9473684210526316,0.0,0.9538461538461538,0.0,0.9348182115951523,0.0,0.9428666889408619,0.0,0.9348182115951523,0.0,0.9538461538461538,0.0
SHIO-RVFL,27.3,10.263744172788234,0.9736842105263157,0.0,0.9742063492063492,0.0,0.9697019325253848,0.0,0.97186343068696,0.0,0.9697019325253848,0.0,0.9742063492063492,0.0
