model_name,seed,size_hidden,act_name,weight_initializer,trainer,alpha
BBO-RVFL,42,129,silu,random_uniform,MPI,4.7179256209036
BBO-RVFL,40,142,sigmoid,orthogonal,MPI,15.970406410705246
BBO-RVFL,15,145,silu,random_normal,MPI,7.32080888191264
BBO-RVFL,24,136,tanh,random_uniform,MPI,4.330658744938743
BBO-RVFL,29,141,sigmoid,glorot_normal,MPI,31.575145524650708
BBO-RVFL,10,143,gelu,glorot_uniform,MPI,6.97617617945244
BBO-RVFL,30,140,tanh,random_uniform,MPI,29.634211820165973
BBO-RVFL,21,143,tanh,random_uniform,MPI,21.176024566264207
BBO-RVFL,27,136,gelu,glorot_normal,MPI,16.186340165490243
BBO-RVFL,35,149,gelu,he_uniform,MPI,2.191059891077255
SADE-RVFL,10,148,sigmoid,lecun_normal,MPI,47.81444357596236
SADE-RVFL,15,136,tanh,random_uniform,MPI,8.20258144484838
SADE-RVFL,21,139,tanh,random_uniform,MPI,46.44154745154604
SADE-RVFL,24,143,tanh,orthogonal,MPI,24.496273535712422
SADE-RVFL,27,143,mish,glorot_normal,MPI,2.217889168796819
SADE-RVFL,29,150,sigmoid,lecun_normal,MPI,39.50302461057106
SADE-RVFL,40,144,tanh,random_uniform,MPI,48.70943235576572
SADE-RVFL,42,144,tanh,orthogonal,MPI,35.20834987546902
SADE-RVFL,35,150,tanh,glorot_normal,MPI,27.754539112064755
SADE-RVFL,30,150,gelu,random_uniform,MPI,34.629774799336154
SHADE-RVFL,10,147,tanh,glorot_normal,MPI,0.01
SHADE-RVFL,15,147,gelu,glorot_normal,MPI,44.452172009761284
SHADE-RVFL,21,150,mish,glorot_normal,MPI,18.20067784442323
SHADE-RVFL,24,144,gelu,glorot_uniform,MPI,43.186193834735676
SHADE-RVFL,27,131,gelu,he_normal,MPI,40.85264715191847
SHADE-RVFL,40,144,tanh,random_uniform,MPI,50.0
SHADE-RVFL,29,148,gelu,he_normal,MPI,18.937612448206576
SHADE-RVFL,35,150,tanh,glorot_normal,MPI,0.01
SHADE-RVFL,42,144,tanh,orthogonal,MPI,1.7609513221441329
LCO-RVFL,10,150,swish,random_uniform,MPI,37.49175847911192
SHADE-RVFL,30,150,gelu,random_uniform,MPI,2.2949355338672075
LCO-RVFL,15,136,tanh,random_uniform,MPI,45.22969644251138
LCO-RVFL,21,139,tanh,random_uniform,MPI,45.38954251241361
LCO-RVFL,24,150,tanh,random_uniform,MPI,46.68442634268088
LCO-RVFL,27,145,tanh,random_uniform,MPI,48.15256743189052
LCO-RVFL,29,145,sigmoid,random_normal,MPI,44.735750789790565
LCO-RVFL,30,150,tanh,random_uniform,MPI,50.0
LCO-RVFL,42,142,sigmoid,orthogonal,MPI,48.06601694099301
LCO-RVFL,40,144,tanh,random_uniform,MPI,49.77835904568059
LCO-RVFL,35,148,tanh,random_uniform,MPI,49.48038539219619
INFO-RVFL,10,148,gelu,glorot_normal,MPI,50.0
INFO-RVFL,29,150,mish,random_normal,L2,0.010699512710605898
INFO-RVFL,27,141,celu,glorot_normal,MPI,0.013998047290460183
INFO-RVFL,21,149,tanh,glorot_uniform,MPI,1.3046230102654799
INFO-RVFL,35,150,mish,random_normal,L2,0.011561204350170759
INFO-RVFL,15,147,gelu,glorot_normal,MPI,7.807719236208275
INFO-RVFL,24,142,gelu,he_uniform,MPI,0.010424371493561438
QLE-SCA-RVFL,10,147,sigmoid,glorot_normal,MPI,11.371128284300937
INFO-RVFL,42,150,tanh,orthogonal,MPI,49.999999999999936
INFO-RVFL,30,147,gelu,he_uniform,MPI,50.0
INFO-RVFL,40,143,gelu,glorot_normal,MPI,24.74024320534374
QLE-SCA-RVFL,15,134,tanh,he_uniform,MPI,21.049450461808036
QLE-SCA-RVFL,21,144,mish,lecun_normal,MPI,32.22850862033491
QLE-SCA-RVFL,24,143,sigmoid,orthogonal,MPI,21.63742876592567
QLE-SCA-RVFL,27,148,sigmoid,glorot_uniform,MPI,30.931507626868502
QLE-SCA-RVFL,29,134,sigmoid,lecun_normal,MPI,36.57099107932545
QLE-SCA-RVFL,30,150,gelu,random_uniform,MPI,41.942749987335205
QLE-SCA-RVFL,35,149,tanh,random_uniform,MPI,22.530109924701602
QLE-SCA-RVFL,40,145,tanh,orthogonal,MPI,1.1856514951277664
QLE-SCA-RVFL,42,135,tanh,lecun_normal,MPI,34.52117455294939
SHIO-RVFL,15,149,mish,glorot_normal,MPI,4.342741384300153
EFO-RVFL,10,91,elu,glorot_normal,MPI,41.35692581186952
SHIO-RVFL,10,96,gelu,glorot_uniform,MPI,50.0
EFO-RVFL,15,142,gelu,orthogonal,MPI,44.460303455534145
EFO-RVFL,21,146,gelu,glorot_uniform,MPI,47.629976762572156
EFO-RVFL,24,127,gelu,he_normal,MPI,20.2648140088008
EFO-RVFL,27,129,gelu,lecun_normal,MPI,31.86854514756659
SHIO-RVFL,21,75,gelu,he_normal,MPI,40.75627262373619
EFO-RVFL,29,143,mish,glorot_normal,MPI,25.670674236792554
SHIO-RVFL,27,140,celu,glorot_normal,MPI,16.35299686518778
EFO-RVFL,30,149,mish,glorot_uniform,MPI,39.13710701343438
EFO-RVFL,35,137,mish,random_normal,MPI,49.78915271567283
EFO-RVFL,40,133,gelu,random_normal,MPI,5.440327705113645
EFO-RVFL,42,141,sigmoid,orthogonal,MPI,31.586903312112025
SHIO-RVFL,35,136,celu,random_normal,L2,0.0668698667802538
SHIO-RVFL,24,137,gelu,glorot_normal,MPI,32.0936245032213
SHIO-RVFL,29,150,celu,he_normal,MPI,12.735803111260742
SHIO-RVFL,40,150,selu,glorot_normal,L2,0.01
SHIO-RVFL,30,113,gelu,glorot_normal,MPI,25.09921283677672
SHIO-RVFL,42,121,tanh,glorot_normal,MPI,0.05099454096925873
A-EO-RVFL,27,141,celu,glorot_normal,MPI,14.699709062314108
A-EO-RVFL,24,150,tanh,glorot_normal,MPI,0.012158988924088166
A-EO-RVFL,21,147,sigmoid,glorot_uniform,MPI,22.285177379759933
A-EO-RVFL,30,150,tanh,glorot_normal,MPI,50.0
A-EO-RVFL,29,148,gelu,glorot_normal,MPI,50.0
A-EO-RVFL,10,147,tanh,glorot_normal,MPI,18.119387876445085
A-EO-RVFL,15,147,gelu,glorot_normal,MPI,1.855296520101324
A-EO-RVFL,40,146,sigmoid,glorot_normal,MPI,29.340079398324924
A-EO-RVFL,35,146,gelu,glorot_uniform,MPI,1.1883097011521258
A-EO-RVFL,42,121,tanh,glorot_normal,MPI,11.283498537602192
RIME-RVFL,10,150,swish,random_uniform,MPI,50.0
RIME-RVFL,15,134,tanh,glorot_uniform,MPI,47.696810661733615
RIME-RVFL,21,129,tanh,orthogonal,MPI,50.0
RIME-RVFL,29,145,sigmoid,random_normal,MPI,40.10448515972375
RIME-RVFL,27,146,tanh,random_uniform,MPI,50.0
RIME-RVFL,40,131,mish,orthogonal,MPI,50.0
RIME-RVFL,24,144,gelu,glorot_uniform,MPI,20.28848564485422
RIME-RVFL,30,150,gelu,random_uniform,MPI,50.0
RIME-RVFL,42,144,tanh,orthogonal,MPI,31.3999249792497
RIME-RVFL,35,147,gelu,lecun_uniform,MPI,12.003201414733757
IM-ARO-RVFL,10,147,tanh,glorot_normal,MPI,9.272749846802286
IM-ARO-RVFL,15,134,tanh,glorot_uniform,MPI,33.04685376250719
IM-ARO-RVFL,21,150,tanh,orthogonal,MPI,0.01334174348677015
IM-ARO-RVFL,24,150,tanh,random_uniform,MPI,50.0
IM-ARO-RVFL,27,150,tanh,random_uniform,MPI,36.161110575863205
IM-ARO-RVFL,29,150,sigmoid,lecun_normal,MPI,41.97228930941338
IM-ARO-RVFL,40,146,sigmoid,glorot_normal,MPI,0.010375144239985605
IM-ARO-RVFL,42,144,tanh,orthogonal,MPI,0.05233851300714952
IM-ARO-RVFL,35,148,tanh,random_uniform,MPI,48.986463484824235
IM-ARO-RVFL,30,150,gelu,random_uniform,MPI,0.034503757524571174
HHO-RVFL,15,136,tanh,random_uniform,MPI,2.28742154496433
HHO-RVFL,10,150,swish,random_uniform,MPI,50.0
HHO-RVFL,21,150,tanh,random_uniform,MPI,50.0
HHO-RVFL,29,150,swish,random_uniform,MPI,20.01152015627074
HHO-RVFL,24,150,tanh,random_uniform,MPI,50.0
AIW-PSO-RVFL,10,136,gelu,he_uniform,MPI,38.751723607834776
AIW-PSO-RVFL,15,149,mish,orthogonal,MPI,24.708898339684968
HHO-RVFL,35,150,tanh,random_uniform,MPI,15.4173305552013
HHO-RVFL,30,150,tanh,random_uniform,MPI,50.0
HHO-RVFL,27,150,tanh,random_uniform,MPI,50.0
HHO-RVFL,42,150,tanh,orthogonal,MPI,48.41385196138514
HHO-RVFL,40,150,tanh,random_uniform,MPI,50.0
AIW-PSO-RVFL,21,129,mish,glorot_normal,MPI,11.135597587931048
AIW-PSO-RVFL,24,150,tanh,orthogonal,MPI,44.10414461494063
AIW-PSO-RVFL,27,124,swish,random_uniform,MPI,7.937821420289911
AIW-PSO-RVFL,29,89,mish,orthogonal,MPI,18.903616410179907
AIW-PSO-RVFL,35,139,mish,random_normal,MPI,9.703621859802388
AIW-PSO-RVFL,40,149,sigmoid,orthogonal,MPI,7.915271198940994
AIW-PSO-RVFL,30,145,swish,random_normal,MPI,36.030100557947115
AIW-PSO-RVFL,42,149,sigmoid,he_normal,MPI,33.90379759304809
CL-PSO-RVFL,10,149,gelu,glorot_normal,MPI,0.25134095455165995
CL-PSO-RVFL,15,150,gelu,glorot_normal,MPI,27.117636672962252
CL-PSO-RVFL,27,139,mish,lecun_normal,MPI,15.668595095061647
CL-PSO-RVFL,21,144,gelu,glorot_uniform,MPI,17.277582084451957
CL-PSO-RVFL,24,123,mish,glorot_normal,MPI,14.143247096533601
CL-PSO-RVFL,29,137,mish,glorot_normal,MPI,0.01
CL-PSO-RVFL,30,125,gelu,glorot_uniform,MPI,29.00004912223171
CL-PSO-RVFL,40,135,gelu,glorot_uniform,MPI,18.490216823995112
CL-PSO-RVFL,42,123,celu,orthogonal,MPI,21.622753927735737
CL-PSO-RVFL,35,150,mish,glorot_uniform,MPI,8.700034907172244
