model_name,seed,size_hidden,act_name,weight_initializer,trainer,alpha
BBO-RVFL,10,126,rrelu,orthogonal,L2,7.472613332870194
BBO-RVFL,15,26,none,orthogonal,L2,30.27585066825332
BBO-RVFL,21,80,gelu,orthogonal,L2,24.5553244992793
BBO-RVFL,24,78,rrelu,lecun_normal,L2,41.02015954909308
BBO-RVFL,27,106,silu,lecun_normal,L2,15.697575468399357
BBO-RVFL,29,95,rrelu,he_uniform,L2,25.966509141189285
BBO-RVFL,30,99,gelu,lecun_normal,L2,1.610442940884937
BBO-RVFL,35,8,hard_tanh,orthogonal,L2,17.901932723534856
BBO-RVFL,40,15,tanh,glorot_normal,L2,37.08485167689586
BBO-RVFL,42,129,leaky_relu,he_normal,L2,42.05803303087085
SADE-RVFL,10,145,relu,orthogonal,L2,4.324184218155263
SADE-RVFL,15,16,elu,glorot_normal,L2,35.89947593304998
SADE-RVFL,21,149,leaky_relu,he_normal,L2,19.265621840365927
SADE-RVFL,24,131,relu,he_normal,L2,27.57897218565859
SADE-RVFL,27,117,rrelu,glorot_normal,L2,48.15505078597717
SADE-RVFL,29,119,rrelu,glorot_uniform,L2,25.186428706290588
SADE-RVFL,30,91,relu,orthogonal,L2,33.81752410339152
SADE-RVFL,35,8,rrelu,glorot_normal,L2,12.503143624509095
SADE-RVFL,40,140,relu,he_normal,L2,27.350430636385113
SADE-RVFL,42,141,leaky_relu,he_normal,L2,28.52743708184765
SHADE-RVFL,10,138,tanh,he_uniform,L2,1.035443594511834
SHADE-RVFL,15,123,relu,glorot_uniform,L2,33.59488976122479
SHADE-RVFL,21,148,leaky_relu,he_normal,L2,17.353102345423824
SHADE-RVFL,24,131,relu,he_normal,L2,27.85574709712361
SHADE-RVFL,27,128,rrelu,glorot_normal,L2,27.277276478585865
SHADE-RVFL,29,150,leaky_relu,glorot_uniform,L2,11.291237031265158
SHADE-RVFL,30,87,rrelu,orthogonal,L2,45.17701819693668
SHADE-RVFL,35,9,mish,lecun_normal,L2,10.108161864317276
SHADE-RVFL,40,145,relu,he_normal,L2,27.592525456494432
SHADE-RVFL,42,123,relu,lecun_normal,L2,43.67249815685593
LCO-RVFL,10,21,gelu,glorot_normal,L2,3.722181586508638
LCO-RVFL,15,120,relu,he_uniform,L2,33.735758267711766
LCO-RVFL,21,132,rrelu,he_normal,L2,34.434727743089724
LCO-RVFL,24,111,celu,glorot_normal,L2,40.286169296974826
LCO-RVFL,27,74,rrelu,lecun_normal,L2,32.0823971859788
LCO-RVFL,29,102,relu,lecun_uniform,L2,21.444143477891522
LCO-RVFL,30,106,gelu,he_normal,L2,9.16416024436448
LCO-RVFL,35,71,tanh,glorot_uniform,L2,15.437184450348497
LCO-RVFL,40,87,relu,lecun_normal,L2,19.992335953583495
LCO-RVFL,42,125,gelu,he_uniform,L2,35.03737893370891
INFO-RVFL,10,50,gelu,glorot_normal,L2,7.246737209717874
INFO-RVFL,15,141,rrelu,lecun_uniform,L2,41.963098505116754
INFO-RVFL,21,128,relu,lecun_normal,L2,14.972715032025594
INFO-RVFL,24,127,leaky_relu,lecun_normal,L2,37.199418176077806
INFO-RVFL,27,76,rrelu,lecun_normal,L2,14.420460795278732
INFO-RVFL,29,86,relu,lecun_uniform,L2,45.08486172597658
INFO-RVFL,30,124,gelu,glorot_normal,L2,10.923148828601983
INFO-RVFL,35,150,rrelu,he_uniform,L2,14.328435981023844
INFO-RVFL,40,123,relu,glorot_normal,L2,32.120938034944395
INFO-RVFL,42,150,rrelu,glorot_uniform,L2,50.0
QLE-SCA-RVFL,10,147,mish,he_uniform,L2,0.5626287470089614
QLE-SCA-RVFL,15,123,relu,glorot_uniform,L2,33.06403950342302
QLE-SCA-RVFL,21,144,rrelu,orthogonal,L2,48.82393172717069
QLE-SCA-RVFL,24,143,relu,he_normal,L2,38.985787878286764
QLE-SCA-RVFL,27,73,leaky_relu,lecun_normal,L2,35.88968834058391
QLE-SCA-RVFL,29,114,rrelu,lecun_uniform,L2,26.174972888513665
QLE-SCA-RVFL,30,133,leaky_relu,orthogonal,L2,24.531314907371915
QLE-SCA-RVFL,35,62,tanh,he_uniform,L2,7.090085956659181
QLE-SCA-RVFL,40,131,relu,he_normal,L2,31.355474611870115
QLE-SCA-RVFL,42,123,leaky_relu,lecun_normal,L2,42.11616071284892
SHIO-RVFL,10,106,celu,glorot_normal,L2,1.539627549167954
SHIO-RVFL,15,120,rrelu,he_uniform,L2,43.95883997316209
SHIO-RVFL,21,150,leaky_relu,glorot_normal,L2,19.72370869042091
SHIO-RVFL,24,132,leaky_relu,glorot_normal,L2,50.0
SHIO-RVFL,27,99,rrelu,lecun_normal,L2,28.286157964341356
SHIO-RVFL,29,150,leaky_relu,glorot_uniform,L2,10.923667984974719
SHIO-RVFL,30,91,relu,orthogonal,L2,39.59756850659323
SHIO-RVFL,35,9,mish,he_normal,L2,21.424253018805558
SHIO-RVFL,40,122,leaky_relu,glorot_normal,L2,20.750952324361553
SHIO-RVFL,42,139,leaky_relu,he_normal,L2,29.782069297386887
EFO-RVFL,10,33,silu,glorot_normal,L2,21.281194780274785
EFO-RVFL,15,128,relu,he_uniform,L2,47.0816519156688
EFO-RVFL,21,132,sigmoid,lecun_normal,L2,17.028472004924218
EFO-RVFL,24,75,relu,lecun_normal,L2,27.47302324368873
EFO-RVFL,27,62,sigmoid,lecun_normal,L2,15.697575468399357
EFO-RVFL,29,101,leaky_relu,lecun_uniform,L2,42.09629412370272
EFO-RVFL,30,10,hard_sigmoid,lecun_normal,L2,25.349155478517556
EFO-RVFL,35,63,none,orthogonal,L2,28.77841795948461
EFO-RVFL,40,71,leaky_relu,lecun_normal,L2,35.027772453584745
EFO-RVFL,42,141,leaky_relu,glorot_normal,L2,30.66758402348487
A-EO-RVFL,10,137,gelu,glorot_uniform,L2,1.0907089483878114
A-EO-RVFL,15,104,leaky_relu,glorot_uniform,L2,36.97047462784096
A-EO-RVFL,21,150,leaky_relu,glorot_normal,L2,19.841503472950492
A-EO-RVFL,24,132,relu,glorot_normal,L2,49.314168230600465
A-EO-RVFL,27,124,rrelu,glorot_normal,L2,27.88356483877256
A-EO-RVFL,29,140,relu,glorot_uniform,L2,12.094169069227641
A-EO-RVFL,30,150,rrelu,lecun_normal,L2,20.426956358397074
A-EO-RVFL,35,8,rrelu,glorot_normal,L2,9.467519156047906
A-EO-RVFL,40,145,relu,glorot_normal,L2,23.6352226350782
A-EO-RVFL,42,139,relu,he_normal,L2,27.973681661259523
RIME-RVFL,10,69,selu,he_uniform,L2,7.472613332870191
